Date,Benchmark,Markowitz_Optimization
03-Mar-2017,1,1
06-Mar-2017,0.997215831851929,0.998300155695083
07-Mar-2017,0.994314022796194,0.996128242649535
08-Mar-2017,0.992470981909443,0.997542068801617
09-Mar-2017,0.993464394018614,0.999203535144923
10-Mar-2017,0.996849837916972,1.00207335475375
13-Mar-2017,0.997189689428004,1.00199327111087
14-Mar-2017,0.993751960681794,1.00018729587582
15-Mar-2017,1.00205218027816,1.0062007941051
16-Mar-2017,1.00015685454355,1.00329675764412
17-Mar-2017,0.994549304611524,0.999975287881213
20-Mar-2017,0.993654972289031,0.999670868427108
21-Mar-2017,0.981896371431559,0.993136788251202
22-Mar-2017,0.984157691101119,0.9950297370669
23-Mar-2017,0.983151207779986,0.99331892193562
24-Mar-2017,0.982484575969884,0.993666155049289
27-Mar-2017,0.981648018404267,0.994449542186067
28-Mar-2017,0.988209766809579,0.996776021282766
29-Mar-2017,0.989177036494824,0.997460500662088
30-Mar-2017,0.991961204642895,0.99808646087881
31-Mar-2017,0.989909024364739,0.996749522008754
03-Apr-2017,0.988431977412946,0.996467566957579
04-Apr-2017,0.988967897103419,0.996486958099937
05-Apr-2017,0.986301369863014,0.994228487549708
06-Apr-2017,0.988889469831643,0.994924710356464
07-Apr-2017,0.987817630450695,0.99525660347333
10-Apr-2017,0.988445048624909,0.99420652328935
11-Apr-2017,0.98755620621144,0.992699167142848
12-Apr-2017,0.983647913834571,0.991747559697643
13-Apr-2017,0.977844295723099,0.989888913505584
14-Apr-2017,0.977844295723099,0.989888913505584
17-Apr-2017,0.985817735020391,0.993557118931346
18-Apr-2017,0.983386489595315,0.990182918667381
19-Apr-2017,0.98156959113249,0.990937350699107
20-Apr-2017,0.988915612255569,0.99538415940845
21-Apr-2017,0.985974589563944,0.993013611023909
24-Apr-2017,0.995960995503503,0.999534863232466
25-Apr-2017,1.00116333786469,1.00234661621733
26-Apr-2017,1.00067970302206,1.00366128810112
27-Apr-2017,1.00151626058768,1.0055604883134
28-Apr-2017,0.999477151521489,1.00711215772483
01-May-2017,1.00164697270731,1.00991400648164
02-May-2017,1.00210446512601,1.01139689436951
03-May-2017,1.00088884241347,1.0092594658896
04-May-2017,1.00188225452264,1.01112511618937
05-May-2017,1.00556833629614,1.01209497826553
08-May-2017,1.00533305448081,1.01148601506675
09-May-2017,1.00436578479557,1.01223898283775
10-May-2017,1.00607811356269,1.0124536893291
11-May-2017,1.00420893025201,1.01234206664614
12-May-2017,1.00282338178396,1.01257764552664
15-May-2017,1.00794729687337,1.01632307124474
16-May-2017,1.00718916657953,1.01656151458889
17-May-2017,0.990850151626059,1.00421677258125
18-May-2017,0.994549304611524,1.00728900124005
19-May-2017,1.0005620621144,1.00994188630344
22-May-2017,1.00525462720903,1.01317613303346
23-May-2017,1.00717609536756,1.01471319123179
24-May-2017,1.00950277109694,1.01679020683173
25-May-2017,1.01403848164802,1.02046059002127
26-May-2017,1.01389469831643,1.01972223883958
29-May-2017,1.01389469831643,1.01972223883958
30-May-2017,1.01317578165848,1.01744511728544
31-May-2017,1.01296664226707,1.01804963302545
01-Jun-2017,1.02041723308585,1.0248516329627
