Row,Markowitz_Optimization
TotalReturn,0.498173158730089
SharpeRatio,0.0297730678409183
Volatility,0.00746474767507234
AverageTurnover,0.00355761181354786
MaxTurnover,0.327775221627528
AverageReturn,0.000260526951224853
MaxDrawdown,0.203014703224398
